epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.231,1.27845,1.01694,1.17844,0.79899,0.78223,0.79573,0.5014,1.3279,0.99459,1.23684,0.000475794,0.000475794,0.000475794
1,162.547,0.92604,0.89665,1.04938,0.67075,0.50023,0.54446,0.33267,1.71076,1.94462,1.58158,0.000663842,0.000663842,0.000663842
1,169.424,0.92604,0.89665,1.04938,0.67075,0.50023,0.54446,0.33267,1.71076,1.94462,1.58158,0.000663842,0.000663842,0.000663842
1,270.971,0.93613,1.08153,1.09089,0.57885,0.32756,0.40513,0.26185,1.80341,2.59189,1.62021,0.000663842,0.000663842,0.000663842
2,427.037,0.89795,0.5179,1.07184,0.57863,0.43144,0.4835,0.29958,1.96965,2.00369,1.6274,0.00119879,0.00119879,0.00119879
3,582.837,0.85437,0.46399,1.03996,0.56503,0.31116,0.4034,0.24091,2.09116,2.33358,1.77458,0.00160173,0.00160173,0.00160173
4,735.519,0.84729,0.4448,1.04716,0.59857,0.47212,0.52965,0.32066,2.0364,2.07139,1.73046,0.001406,0.001406,0.001406
5,887.902,0.80739,0.39676,1.02209,0.49476,0.40547,0.47839,0.30196,2.04636,2.42334,1.79234,0.001208,0.001208,0.001208
6,1041.99,0.80289,0.37658,1.01005,0.66137,0.33545,0.45476,0.29083,2.09048,2.52636,1.77246,0.00101,0.00101,0.00101
7,1194.53,0.79741,0.35501,1.00931,0.51691,0.50524,0.5309,0.32929,1.93782,2.0903,1.65824,0.000812,0.000812,0.000812
8,1347.78,0.76669,0.34239,0.9946,0.6315,0.47624,0.54165,0.3313,1.93545,2.12605,1.65651,0.000614,0.000614,0.000614
9,1498.62,0.74425,0.31921,0.9827,0.64365,0.4533,0.56335,0.36198,1.91634,2.32982,1.68017,0.000416,0.000416,0.000416
10,1651.85,0.72894,0.30298,0.97626,0.64871,0.51909,0.61031,0.38574,1.88183,2.01578,1.61901,0.000218,0.000218,0.000218
1,267.993,0.93287,0.98991,1.10616,0.64599,0.53455,0.56256,0.35147,1.71178,1.75802,1.52448,0.000553312,0.000553312,0.000553312
2,425.258,0.87955,0.51966,1.06535,0.55032,0.38314,0.42904,0.26986,2.00625,2.4238,1.71571,0.00099919,0.00099919,0.00099919
3,578.114,0.85577,0.46332,1.0485,0.86223,0.28656,0.34433,0.2372,2.426,2.98926,2.06983,0.00133505,0.00133505,0.00133505
4,729.342,0.82622,0.41557,1.03154,0.60126,0.39134,0.48217,0.3119,2.07329,2.81879,1.73445,0.0011719,0.0011719,0.0011719
5,879.943,0.80451,0.39732,1.02313,0.63553,0.41276,0.50071,0.3082,2.09689,2.25398,1.81536,0.00100687,0.00100687,0.00100687
6,1031.55,0.79216,0.36558,1.00863,0.78891,0.29456,0.42665,0.28805,2.13293,2.88086,1.78062,0.000841835,0.000841835,0.000841835
7,1183.01,0.78052,0.34852,1.00305,0.65982,0.37494,0.49288,0.3153,2.06873,2.48659,1.80306,0.000676802,0.000676802,0.000676802
8,1335.23,0.75426,0.33101,0.99086,0.5777,0.45513,0.54619,0.34866,2.01245,2.47532,1.71124,0.000511769,0.000511769,0.000511769
9,1487.94,0.7369,0.31048,0.97793,0.6326,0.37995,0.49926,0.32429,2.13489,2.39597,1.80425,0.000346736,0.000346736,0.000346736
10,1638.99,0.72549,0.29684,0.97498,0.69808,0.39818,0.54184,0.35459,2.01195,2.47947,1.71997,0.000181703,0.000181703,0.000181703
1,164.996,0.91644,0.86661,1.05347,0.6643,0.38588,0.4698,0.31074,1.6777,2.2578,1.47242,0.000553312,0.000553312,0.000553312
2,386.746,0.87257,0.50967,1.02454,0.74847,0.57768,0.64267,0.4004,1.73421,1.52941,1.5182,0.001098,0.001098,0.001098
3,551.03,0.86898,0.49862,1.01717,0.72439,0.47177,0.55387,0.3605,1.72881,1.72313,1.52782,0.00163169,0.00163169,0.00163169
4,731.873,0.85414,0.46483,1.02194,0.72712,0.49248,0.54747,0.35738,1.72534,2.07535,1.52719,0.00161749,0.00161749,0.00161749
5,920.049,0.84193,0.45041,1.01593,0.76512,0.53212,0.64044,0.41866,1.66552,1.92752,1.49975,0.00160099,0.00160099,0.00160099
6,1072.97,0.8235,0.43503,0.99916,0.8032,0.49567,0.6092,0.40246,1.72529,1.73015,1.54186,0.00158448,0.00158448,0.00158448
7,1225.15,0.82008,0.4275,0.99959,0.74021,0.50626,0.58473,0.37095,1.73093,1.82932,1.50952,0.00156798,0.00156798,0.00156798
8,1376.47,0.81023,0.41357,0.99341,0.68635,0.44647,0.5218,0.34841,1.88702,1.85221,1.66547,0.00155148,0.00155148,0.00155148
9,1527,0.80295,0.40681,0.98573,0.82385,0.5838,0.68365,0.43054,1.62031,1.53924,1.44214,0.00153497,0.00153497,0.00153497
10,1678.78,0.80144,0.39299,0.98809,0.8181,0.59628,0.67585,0.43799,1.65881,1.57313,1.47905,0.00151847,0.00151847,0.00151847
11,1828.95,0.80068,0.39423,0.99312,0.72179,0.47426,0.54985,0.34904,1.93305,2.24183,1.65143,0.00150197,0.00150197,0.00150197
12,1980.88,0.79213,0.38209,0.98335,0.73256,0.51708,0.59136,0.38684,1.73867,1.88404,1.53215,0.00148546,0.00148546,0.00148546
