epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.267,1.00916,0.46911,1.24048,0.8164,0.66105,0.72697,0.41885,1.85371,1.24903,1.81226,0.000554487,0.000554487,0.000554487
2,541.712,0.92441,0.47136,1.18654,0.84663,0.65386,0.73581,0.44798,1.68545,1.28853,1.65621,0.00107352,0.00107352,0.00107352
3,810.812,0.91548,0.47214,1.17961,0.71329,0.59134,0.65731,0.39896,1.76284,1.5837,1.73703,0.00155588,0.00155588,0.00155588
4,1079.76,0.89802,0.45592,1.16097,0.81065,0.60046,0.68687,0.43311,1.65648,1.53091,1.64269,0.00150197,0.00150197,0.00150197
5,1348.64,0.90364,0.46711,1.17282,0.89119,0.66515,0.73872,0.40258,1.88799,1.32914,1.78715,0.00144696,0.00144696,0.00144696
6,1621.9,0.89003,0.4505,1.15899,0.78926,0.62415,0.69208,0.42354,1.73804,1.40893,1.71411,0.00139195,0.00139195,0.00139195
7,1893.44,0.87992,0.45001,1.16162,0.79579,0.6082,0.69012,0.42266,1.73145,1.51365,1.69654,0.00133693,0.00133693,0.00133693
8,2162.92,0.88568,0.44056,1.15634,0.81004,0.66054,0.72523,0.44168,1.72267,1.39875,1.70375,0.00128192,0.00128192,0.00128192
9,2431.61,0.88215,0.444,1.15844,0.92312,0.64009,0.73495,0.44315,1.7385,1.34037,1.76408,0.00122691,0.00122691,0.00122691
10,2703.43,0.8675,0.43871,1.13654,0.83579,0.67243,0.73901,0.4801,1.58681,1.35707,1.59994,0.0011719,0.0011719,0.0011719
11,2972.83,0.84969,0.42413,1.12949,0.78396,0.66651,0.73436,0.47162,1.62305,1.38259,1.63261,0.00111689,0.00111689,0.00111689
12,3241.65,0.84952,0.43306,1.13332,0.83415,0.67654,0.75874,0.46408,1.75144,1.40833,1.76005,0.00106188,0.00106188,0.00106188
13,3510.5,0.83681,0.40363,1.12199,0.78486,0.6033,0.68421,0.41803,1.74029,1.7409,1.74827,0.00100687,0.00100687,0.00100687
14,3779.58,0.85311,0.41722,1.12996,0.78472,0.65099,0.71936,0.42837,1.76255,1.62531,1.76728,0.000951857,0.000951857,0.000951857
15,4048.75,0.82917,0.40117,1.12187,0.77683,0.57567,0.65211,0.39794,1.88413,2.02445,1.86587,0.000896846,0.000896846,0.000896846
16,4318.07,0.83251,0.40705,1.11744,0.85595,0.66594,0.74531,0.45283,1.72177,1.26401,1.69359,0.000841835,0.000841835,0.000841835
17,4587.49,0.83369,0.40095,1.11827,0.88801,0.7044,0.78267,0.46172,1.74592,1.27454,1.71737,0.000786824,0.000786824,0.000786824
18,4856.79,0.80921,0.39349,1.10778,0.8697,0.66378,0.75698,0.47537,1.62371,1.29175,1.63383,0.000731813,0.000731813,0.000731813
19,5126.17,0.82126,0.38681,1.10701,0.83761,0.65877,0.74617,0.45853,1.71418,1.43545,1.74854,0.000676802,0.000676802,0.000676802
20,5395.42,0.81754,0.38842,1.11378,0.80473,0.65239,0.72596,0.4566,1.64142,1.40677,1.7009,0.000621791,0.000621791,0.000621791
21,5712.9,0.77571,0.30064,1.12815,0.75747,0.64465,0.74306,0.47883,1.69172,1.70062,1.68556,0.00056678,0.00056678,0.00056678
22,5980.91,0.75858,0.29304,1.11087,0.71094,0.64784,0.71855,0.45557,1.73038,1.6582,1.70555,0.000511769,0.000511769,0.000511769
23,6248.84,0.75942,0.29478,1.10498,0.68093,0.6,0.68357,0.43678,1.72334,1.80422,1.70508,0.000456758,0.000456758,0.000456758
24,6517.07,0.74376,0.28029,1.09428,0.7445,0.55225,0.68063,0.45186,1.68203,2.21501,1.69192,0.000401747,0.000401747,0.000401747
25,6785.57,0.74421,0.2786,1.08628,0.74515,0.61007,0.71597,0.45546,1.74669,1.85442,1.71617,0.000346736,0.000346736,0.000346736
26,7054.21,0.74211,0.27586,1.10209,0.69809,0.60547,0.6979,0.45406,1.70081,1.91852,1.69016,0.000291725,0.000291725,0.000291725
27,7322.43,0.73806,0.27548,1.09746,0.74052,0.59408,0.70786,0.45061,1.77437,1.92024,1.74506,0.000236714,0.000236714,0.000236714
28,7590.7,0.72325,0.2679,1.08455,0.75358,0.61868,0.73107,0.47186,1.73562,1.92101,1.72103,0.000181703,0.000181703,0.000181703
29,7860.73,0.71676,0.26032,1.07402,0.76102,0.58861,0.71875,0.47199,1.6968,2.04811,1.71095,0.000126692,0.000126692,0.000126692
30,8128.76,0.71329,0.25881,1.08136,0.75043,0.59317,0.715,0.46535,1.7414,2.00059,1.74489,7.1681e-05,7.1681e-05,7.1681e-05
